ISO2,Country,Region,Emissions_scope,Warming_scenario,Probability_of_reach,Budget_source,Budget_distribution_scenario,Years_to_neutrality,Neutrality_year,Latest_year,Latest_annual_CO2_emissions_Mt,Latest_cumulative_CO2_emissions_Mt,Latest_cumulative_population,Share_of_cumulative_population,Population_2050,Share_of_total_population_2050,Global_Carbon_budget,Country_carbon_budget,scenario_id
AW,Aruba,Latin America and Caribbean,Territory,1.5°C,33%,Lamboll,Equality,12,2035,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,480000,5.006487876707876,1
AW,Aruba,Latin America and Caribbean,Territory,1.5°C,33%,Lamboll,Responsibility,-116,<2023,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,480000,-50.221973101700996,2
AW,Aruba,Latin America and Caribbean,Territory,1.5°C,33%,Lamboll,Current_target,N/A,N/A,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,480000,,3
AW,Aruba,Latin America and Caribbean,Territory,1.5°C,33%,Foster,Equality,7,2030,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,300000,3.1290549229424225,4
AW,Aruba,Latin America and Caribbean,Territory,1.5°C,33%,Foster,Responsibility,-120,<2023,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,300000,-52.19840944711767,5
AW,Aruba,Latin America and Caribbean,Territory,1.5°C,33%,Foster,Current_target,N/A,N/A,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,300000,,6
AW,Aruba,Latin America and Caribbean,Territory,1.5°C,50%,Lamboll,Equality,6,2029,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,247000,2.576255219889261,7
AW,Aruba,Latin America and Caribbean,Territory,1.5°C,50%,Lamboll,Responsibility,-122,<2023,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,247000,-52.78036014882369,8
AW,Aruba,Latin America and Caribbean,Territory,1.5°C,50%,Lamboll,Current_target,N/A,N/A,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,247000,,9
AW,Aruba,Latin America and Caribbean,Territory,1.5°C,50%,Foster,Equality,6,2029,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,250000,2.607545769118685,10
AW,Aruba,Latin America and Caribbean,Territory,1.5°C,50%,Foster,Responsibility,-122,<2023,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,250000,-52.74741954306674,11
AW,Aruba,Latin America and Caribbean,Territory,1.5°C,50%,Foster,Current_target,N/A,N/A,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,250000,,12
AW,Aruba,Latin America and Caribbean,Territory,1.5°C,67%,Lamboll,Equality,1,2024,2023.0,0.86718,74.782368,5443729.0,1.0980201918981521e-05,100002.0,1.0430183076474741e-05,60000,0.6258109845884845,13
