country;emission_2022;population_2050;repartition_method;source_of_budget;probability_of_reach;curve_type;remaining_carbon_budget;time_to_neutrality;temperature;scope
Afghanistan;36.29291;76885.134;equality;lamboll;33%;linear;3818.64845088358;210.434955526222;1.5°C;consumption_based
Albania;10.69817;2240.166;equality;lamboll;33%;linear;111.262164485817;20.8002236804644;1.5°C;consumption_based
Algeria;229.2533;59565.554;equality;lamboll;33%;linear;2958.43810987079;25.809339362799;1.5°C;consumption_based
Andorra;0.7052279;82.195;equality;lamboll;33%;linear;4.08237318569772;11.5774579698214;1.5°C;consumption_based
Angola;63.06419;74295.394;equality;lamboll;33%;linear;3690.02401954434;117.024384822649;1.5°C;consumption_based
Argentina;329.7293;48308.943;equality;lamboll;33%;linear;2399.35681650465;14.5534947395008;1.5°C;consumption_based
Armenia;13.76886;2495.207;equality;lamboll;33%;linear;123.929267590063;18.0013839330291;1.5°C;consumption_based
Aruba;0.8570806;100.002;equality;lamboll;33%;linear;4.96679218098599;11.5900235776798;1.5°C;consumption_based
Australia;516.071;32506.969;equality;lamboll;33%;linear;1614.52130414146;6.25697357201414;1.5°C;consumption_based
Austria;104.6011;8724.332;equality;lamboll;33%;linear;433.31077340379;8.28501370260524;1.5°C;consumption_based
Azerbaijan;61.16201;11224.923;equality;lamboll;33%;linear;557.507447736743;18.2305142599709;1.5°C;consumption_based
Bahamas;3.216727;424.265;equality;lamboll;33%;linear;21.071939407872;13.1014782465979;1.5°C;consumption_based
Bahrain;29.84191;2139.464;equality;lamboll;33%;linear;106.260605454901;7.12156865662425;1.5°C;consumption_based
Bangladesh;198.2366;214709.096;equality;lamboll;33%;linear;10663.9413131674;107.588016674695;1.5°C;consumption_based
Barbados;4.262979;264.216;equality;lamboll;33%;linear;13.1227971729705;6.15663233291577;1.5°C;consumption_based
Belarus;37.69015;7453.546;equality;lamboll;33%;linear;370.194736039473;19.6441105190334;1.5°C;consumption_based
Belgium;135.3539;11870.906;equality;lamboll;33%;linear;589.591439191413;8.71185003448608;1.5°C;consumption_based
Belize;1.471538;516.627;equality;lamboll;33%;linear;25.6592762553374;34.874092623279;1.5°C;consumption_based
Benin;17.1341;24433.809;equality;lamboll;33%;linear;1213.55224388417;141.653456427145;1.5°C;consumption_based
Bermuda;0;56.937;equality;lamboll;33%;linear;2.82788590636986;inf;1.5°C;consumption_based
