country;emission_2023;population_2050;repartition_method;source_of_budget;probability_of_reach;curve_type;remaining_carbon_budget;time_to_neutrality;temperature;scope
Afghanistan;8.70734983;76885.134;equality;lamboll;33%;linear;3818.64845088358;877.10922965951;1.5°C;territorial_CO2
Albania;4.591827764;2240.166;equality;lamboll;33%;linear;111.262164485817;48.4609485391042;1.5°C;territorial_CO2
Algeria;180.3576499;59565.554;equality;lamboll;33%;linear;2958.43810987079;32.8063501771187;1.5°C;territorial_CO2
Angola;28.22992761;74295.394;equality;lamboll;33%;linear;3690.02401954434;261.426389080588;1.5°C;territorial_CO2
Anguilla;0.022955546;14.552;equality;lamboll;33%;linear;0.722753143114218;62.9698063478184;1.5°C;territorial_CO2
Antigua and Barbuda;0.323105618;95.055;equality;lamboll;33%;linear;4.72108988583851;29.2231989964255;1.5°C;territorial_CO2
Argentina;183.7784214;48308.943;equality;lamboll;33%;linear;2399.35681650465;26.111409579282;1.5°C;territorial_CO2
Armenia;7.725144396;2495.207;equality;lamboll;33%;linear;123.929267590063;32.0846475450304;1.5°C;territorial_CO2
Aruba;0.530026098;100.002;equality;lamboll;33%;linear;4.96679218098599;18.7416891346584;1.5°C;territorial_CO2
Australia;373.6164239;32506.969;equality;lamboll;33%;linear;1614.52130414146;8.6426677247657;1.5°C;territorial_CO2
Austria;58.81513302;8724.332;equality;lamboll;33%;linear;433.31077340379;14.7346695027092;1.5°C;territorial_CO2
Azerbaijan;42.76620028;11224.923;equality;lamboll;33%;linear;557.507447736743;26.0723395619258;1.5°C;territorial_CO2
Bahamas;1.683711665;424.265;equality;lamboll;33%;linear;21.071939407872;25.0303420067735;1.5°C;territorial_CO2
Bahrain;37.42557341;2139.464;equality;lamboll;33%;linear;106.260605454901;5.67850246625792;1.5°C;territorial_CO2
Bangladesh;124.7933633;214709.096;equality;lamboll;33%;linear;10663.9413131674;170.905583937691;1.5°C;territorial_CO2
Barbados;0.796212945;264.216;equality;lamboll;33%;linear;13.1227971729705;32.963033960646;1.5°C;territorial_CO2
